iter	MultiClass
0	1.572145024
1	1.37554077
2	1.239106353
3	1.129403635
4	1.039222456
5	0.9687409508
6	0.9095423549
7	0.8588170749
8	0.8213377812
9	0.7662814818
10	0.7231158939
11	0.6976876892
12	0.6624411815
13	0.6331899994
14	0.60522159
15	0.5750919957
16	0.5557555511
17	0.5351478765
18	0.5100931111
19	0.4899199514
20	0.4765325189
21	0.4633949205
22	0.4498507141
23	0.4364246287
24	0.4270947168
25	0.4141772041
26	0.4001453598
27	0.3907339161
28	0.3820903524
29	0.3681478535
30	0.3607105674
31	0.3461092799
32	0.3386030101
33	0.3294133652
34	0.320963055
35	0.3136244193
36	0.3061191994
37	0.3000499367
38	0.2938274703
39	0.2864474927
40	0.2759002197
41	0.2693530215
42	0.262264724
43	0.2548714417
44	0.247888024
45	0.2408696906
46	0.2333067702
47	0.2301152861
48	0.2269476618
49	0.2216203371
50	0.217464538
51	0.2112002993
52	0.205772966
53	0.200784339
54	0.1974344939
55	0.1931617898
56	0.1904994769
57	0.1840499062
58	0.1822535789
59	0.1807584697
60	0.1766328065
61	0.1725778304
62	0.170650921
63	0.1669185526
64	0.1648753549
65	0.162490402
66	0.1603978395
67	0.1581368196
68	0.1549803502
69	0.1532494589
70	0.1510875695
71	0.1452938073
72	0.1421139423
73	0.1396876638
74	0.1364846132
75	0.1338827051
76	0.1309128081
77	0.1295618432
78	0.1274555961
79	0.1257592754
80	0.123086065
81	0.1203961467
82	0.1175656382
83	0.1161042819
84	0.1152854215
85	0.1133782784
86	0.1127586049
87	0.1097996318
88	0.1084567826
89	0.1078370992
90	0.1059058732
91	0.1038128092
92	0.1014213813
93	0.09908329661
94	0.09778577295
95	0.09632195126
96	0.09544541546
97	0.09356190773
98	0.09135458418
99	0.09006932195
100	0.08834800735
101	0.08693724026
102	0.08569383782
103	0.08505192621
104	0.08411579964
105	0.08248693823
106	0.08200821252
107	0.07981859772
108	0.07857199283
