iter	Passed	Remaining
201	503	1294
202	505	1290
203	507	1287
204	510	1283
205	512	1280
206	514	1276
207	516	1273
208	518	1269
209	520	1266
210	522	1263
211	524	1259
212	526	1256
213	528	1252
214	530	1249
215	533	1246
216	535	1242
217	537	1239
218	539	1236
219	541	1233
220	543	1230
221	545	1227
222	547	1223
223	550	1220
224	552	1217
225	554	1214
226	556	1211
227	558	1208
228	560	1205
229	563	1202
230	565	1199
231	567	1196
232	569	1193
233	571	1189
234	573	1186
235	575	1183
236	578	1180
237	580	1177
238	582	1174
239	584	1171
240	586	1168
241	588	1165
242	590	1162
243	592	1159
244	594	1155
245	597	1152
246	599	1149
247	601	1146
248	603	1143
249	605	1140
250	607	1137
251	609	1134
252	611	1131
253	613	1128
254	615	1125
255	617	1122
256	620	1119
257	622	1116
258	624	1113
259	626	1110
260	628	1107
261	630	1104
262	632	1102
263	634	1099
264	636	1096
265	639	1093
266	641	1090
267	643	1087
268	645	1085
269	648	1082
270	650	1079
271	652	1076
272	654	1074
273	657	1071
274	659	1068
275	661	1065
276	663	1063
277	665	1060
278	667	1057
279	669	1054
280	671	1052
281	674	1049
282	676	1046
283	678	1043
284	680	1041
285	682	1038
286	684	1035
287	687	1033
288	689	1030
289	691	1028
290	693	1025
291	695	1022
292	698	1019
293	700	1017
294	702	1014
295	704	1011
296	706	1008
297	708	1005
298	710	1003
299	712	1000
300	715	998
301	717	995
302	719	993
303	722	990
304	724	987
305	726	985
306	728	982
307	730	979
308	732	977
309	735	974
310	737	971
311	739	969
312	741	966
313	743	963
314	745	960
315	747	958
316	749	955
317	751	952
318	753	950
319	756	947
320	758	944
321	760	942
322	762	939
323	764	937
324	766	934
325	769	931
326	771	929
327	773	926
328	775	924
329	777	921
330	780	919
331	782	916
332	784	913
333	786	911
334	788	908
335	790	905
336	792	903
337	794	900
338	797	898
339	799	895
340	801	893
341	803	890
342	805	887
343	807	885
344	810	883
345	813	881
346	815	879
347	817	876
348	819	873
349	823	872
350	826	871
351	828	868
352	831	866
353	833	863
354	835	860
355	837	858
356	839	855
357	841	853
358	843	850
359	845	847
360	847	845
361	849	842
362	851	840
363	854	837
364	856	835
365	858	832
366	860	829
367	862	827
368	864	824
369	866	822
370	868	819
371	870	817
372	873	814
373	875	812
374	877	809
375	879	807
376	881	804
377	884	802
378	886	799
379	888	797
380	890	794
381	892	791
382	894	789
383	896	786
384	898	784
385	900	781
386	903	779
387	905	776
388	907	774
389	909	771
390	911	769
391	914	767
392	917	765
393	919	763
394	923	761
395	925	759
396	927	757
397	930	754
398	932	752
399	934	749
400	936	747
401	938	744
402	941	742
403	943	740
404	945	737
405	947	735
406	949	732
407	951	729
408	953	727
409	956	725
410	958	722
411	960	720
412	963	718
413	965	716
414	968	713
415	971	712
416	973	709
417	976	707
418	978	705
419	980	702
420	982	700
421	984	697
422	986	695
423	989	692
424	993	691
425	995	689
426	997	686
427	999	684
428	1001	681
429	1003	679
430	1005	676
431	1007	674
432	1009	671
433	1011	669
434	1016	668
435	1018	665
436	1020	663
437	1022	660
438	1024	658
439	1026	655
440	1029	653
441	1031	650
442	1033	648
443	1035	645
444	1037	643
445	1039	640
446	1041	638
447	1043	636
448	1046	633
449	1048	631
450	1050	628
451	1053	627
452	1057	625
453	1060	623
454	1063	621
455	1065	619
456	1068	617
457	1072	615
458	1074	613
459	1076	610
460	1078	608
461	1080	605
462	1082	603
463	1084	600
464	1087	598
465	1089	596
466	1091	593
467	1093	591
468	1095	588
469	1097	586
470	1099	583
471	1102	581
472	1104	578
473	1106	576
474	1108	573
475	1110	571
476	1112	568
477	1114	566
478	1116	564
479	1118	561
480	1120	559
481	1123	556
482	1125	554
483	1127	552
484	1129	549
485	1131	547
486	1134	544
487	1136	542
488	1138	539
489	1140	537
490	1142	535
491	1144	532
492	1146	530
493	1148	527
494	1151	525
495	1153	523
496	1155	520
497	1157	518
498	1159	516
499	1162	513
500	1164	511
501	1166	508
502	1170	507
503	1174	505
504	1176	503
505	1178	500
506	1180	498
507	1182	495
508	1184	493
509	1186	490
510	1188	488
511	1190	486
512	1192	483
513	1195	481
514	1197	478
515	1199	476
516	1201	474
517	1203	471
518	1205	469
519	1207	466
520	1209	464
521	1212	462
522	1214	459
523	1216	457
524	1218	454
525	1220	452
526	1222	449
527	1224	447
528	1227	445
529	1229	442
530	1231	440
531	1233	438
532	1235	435
533	1237	433
534	1239	431
535	1241	428
536	1244	426
537	1246	423
538	1248	421
539	1250	419
540	1252	416
541	1254	414
542	1256	411
543	1259	409
544	1261	407
545	1263	405
546	1265	402
547	1268	400
548	1270	398
549	1272	395
550	1274	393
551	1278	391
552	1283	389
553	1287	388
554	1289	385
555	1291	383
556	1293	380
557	1295	378
558	1298	376
559	1300	373
560	1302	371
561	1304	369
562	1306	366
563	1308	364
564	1310	361
565	1312	359
566	1314	357
567	1317	354
568	1319	352
569	1321	349
570	1323	347
571	1325	345
572	1327	342
573	1329	340
574	1331	338
575	1333	335
576	1335	333
577	1338	331
578	1340	328
579	1342	326
580	1344	323
581	1346	321
582	1348	319
583	1351	316
584	1353	314
585	1355	312
586	1357	309
587	1359	307
588	1361	305
589	1363	302
590	1365	300
591	1368	298
592	1370	295
593	1372	293
594	1374	291
595	1376	288
596	1378	286
597	1380	284
598	1382	281
599	1385	279
600	1387	276
601	1389	274
602	1392	272
603	1394	270
604	1396	267
605	1398	265
606	1400	263
607	1402	260
608	1404	258
609	1406	256
610	1409	253
611	1411	251
612	1413	248
613	1415	246
614	1418	244
615	1420	242
616	1422	239
617	1424	237
618	1426	235
619	1428	232
620	1430	230
621	1432	228
622	1436	226
623	1439	223
624	1441	221
625	1444	219
626	1447	216
627	1449	214
628	1452	212
629	1454	210
630	1456	207
631	1458	205
632	1460	203
633	1462	200
634	1464	198
635	1467	196
636	1469	193
637	1471	191
638	1473	189
639	1475	186
640	1477	184
641	1479	182
642	1481	179
643	1485	177
644	1487	175
645	1489	172
646	1491	170
647	1493	168
648	1495	165
649	1498	163
650	1500	161
651	1502	158
652	1504	156
653	1506	154
654	1508	152
655	1510	149
656	1513	147
657	1515	145
658	1517	142
659	1519	140
660	1521	138
661	1524	135
662	1526	133
663	1528	131
664	1530	128
665	1532	126
666	1534	124
667	1536	121
668	1538	119
669	1541	117
670	1543	114
671	1545	112
672	1547	110
673	1549	108
674	1552	105
675	1554	103
676	1556	101
677	1558	98
678	1560	96
679	1562	94
680	1564	91
681	1566	89
682	1569	87
683	1571	85
684	1573	82
685	1576	80
686	1578	78
687	1580	75
688	1582	73
689	1584	71
690	1586	68
691	1588	66
692	1590	64
693	1593	61
694	1595	59
695	1597	57
696	1599	55
697	1601	52
698	1603	50
699	1605	48
700	1607	45
701	1610	43
702	1612	41
703	1614	38
704	1616	36
705	1618	34
706	1621	32
707	1623	29
708	1625	27
709	1627	25
710	1629	22
711	1631	20
712	1634	18
713	1636	16
714	1638	13
715	1640	11
716	1642	9
717	1644	6
718	1646	4
719	1648	2
720	1651	0
