iter	RMSE
0	0.3826749062
1	0.3608114192
2	0.3412952343
3	0.3230660631
4	0.3077532181
5	0.29266075
6	0.2794301311
7	0.2667768628
8	0.2561358558
9	0.2454691456
10	0.235317504
11	0.226827599
12	0.2194182292
13	0.2121493352
14	0.2059116394
15	0.1992845968
16	0.1938073949
17	0.1885848975
18	0.1834030266
19	0.1783301791
20	0.1747515211
21	0.1715287172
22	0.1683447731
23	0.1651295058
24	0.1617589065
25	0.1584803338
26	0.1562528951
27	0.1535090122
28	0.1507570128
29	0.1477909754
30	0.1450475006
31	0.1431854107
32	0.1410345669
33	0.138788402
34	0.1372161291
35	0.1360990383
36	0.1348536335
37	0.1325805509
38	0.130747176
39	0.1296928221
40	0.1284261067
41	0.1274431082
42	0.1251754096
43	0.1246687683
44	0.1236450762
45	0.1224786456
46	0.121428735
47	0.1201434704
48	0.1184920784
49	0.1175230172
50	0.1167166145
51	0.1153178038
52	0.1148755504
53	0.1140209374
54	0.1132370455
55	0.1119443185
56	0.1107806953
57	0.1102698454
58	0.1094364386
59	0.1083382494
60	0.1079657435
61	0.1068329737
62	0.1056194118
63	0.1046392788
64	0.1043454261
65	0.1040934332
66	0.1031267187
67	0.1019939473
68	0.1008148014
69	0.1000831862
70	0.09977071026
71	0.09873664419
72	0.09784844102
73	0.09767140741
74	0.09687768121
75	0.09590744132
76	0.09525040258
77	0.0944351593
78	0.0932428358
79	0.09273979463
80	0.09144305488
81	0.0905090313
82	0.0901716871
83	0.08998224692
84	0.08974011066
85	0.08957634068
86	0.08897375467
87	0.08880853709
88	0.08864384958
89	0.08848131778
90	0.0883426676
91	0.08801513121
92	0.08772001891
93	0.08759180541
94	0.08675563503
95	0.08662906922
96	0.08584246135
97	0.08498509382
98	0.08486687573
99	0.08471227717
100	0.08388894925
101	0.08333941132
102	0.08283228436
103	0.08265389339
104	0.08245910109
105	0.08179515932
106	0.08137229409
107	0.08071688521
108	0.08032290609
109	0.08021840136
110	0.07955161074
111	0.07895087801
112	0.07884827417
113	0.07822577464
114	0.07808652962
115	0.07771129598
116	0.07759586164
117	0.07745876125
118	0.07727615014
119	0.07708866638
120	0.07643968305
121	0.07633917886
122	0.07624761081
123	0.07569447763
124	0.07525571648
125	0.07516566205
126	0.07446649651
127	0.07417102326
128	0.07367789188
129	0.0735712815
130	0.07273913144
131	0.07250752362
132	0.07218947946
133	0.07157222185
134	0.07130832185
135	0.07121611755
136	0.0711372971
137	0.07105836463
138	0.07048334466
139	0.07020181793
140	0.07003623372
141	0.06947120529
142	0.06939139601
143	0.06917476011
144	0.06906717528
145	0.0690013678
146	0.06892565539
147	0.06847783082
148	0.06840103473
149	0.06793928434
150	0.06785932775
151	0.06724359426
152	0.06708564307
153	0.06691128681
154	0.06684013775
155	0.0667700449
156	0.0663691294
157	0.06630327763
158	0.06584680724
159	0.06550380203
160	0.06504605526
161	0.06496516951
162	0.06438018245
163	0.06431623373
164	0.06368282948
165	0.0635844481
166	0.06328880995
167	0.06322174159
168	0.06309527939
169	0.06292971481
170	0.06285025542
171	0.06236474046
172	0.06176841283
173	0.06122029802
174	0.06089984268
175	0.06083585428
176	0.06049017268
177	0.06042502467
178	0.06001962763
179	0.05996477806
180	0.05990875939
181	0.05985069641
182	0.05964996214
183	0.05918437727
184	0.05878802207
185	0.05829938655
186	0.05824455939
187	0.05775305365
188	0.05768141115
189	0.05763240715
190	0.05738469378
191	0.05720077172
192	0.05706290801
193	0.05674742437
194	0.05651161529
195	0.05622526936
196	0.05617666123
197	0.05590559264
198	0.05585502173
199	0.05579783955
200	0.05575629281
201	0.0557046476
202	0.05562882337
203	0.05536105176
204	0.05516409949
205	0.05471953854
